company_name,url,year_founded,full_time_employees,company_category,data_types,description
Computer Packages Inc,http://www.computerpackages.com/,1968,51-200,Data/Technology,,Computer Packages Inc. provides intellectual property management systems and patent annuity payment services. Our exclusive patent audit service improves your ability to manage acquisitions and/or divestitures efficiently.
CONNECT-DOT LLC.,http://conndot.com,2014,1-10,Lifestyle & Consumer,"Business, Consumer, Demographics & Social, Economics, Government Operations, Science and Research","CONNECT-DOT are providers of data driven strategies and services, which deliver long term commercial and social benefits, based upon our clients key business requirements. The strategies evolved should be economical, efficient, durable and flexible and empower the organizations and governments to respond rapidly to both market and customer needs."
ConnectEDU,http://www.connectedu.com,2002,51-200,Education,Education,"ConnectEDU’s technology solutions empower students by informing their academic and career decisions. ConnectEDU manages data—including data acquisition, loading, standardization, normalization, storage, and security. To ensure a successful implementation of a product, suite of products or enterprise deployment, our data management solution is our core competency."
Connotate,http://www.connotate.com,2000,51-200,Data/Technology,,"Connotate transforms web data and content into high-value information assets – to feed content products, grow market and business intelligence, enable mass data aggregation, migration and integration.

<p>Connotate’s patented intelligent Agent technology empowers both business users and programmers to quickly create data sets, new applications and content products. With Connotate, customers experience productivity gains, reduced costs, mitigated risks, more informed decision-making and strategic and competitive advantages.</p>"
Construction Monitor LLC,www.constructionmonitor.com,1989,11-50,Housing/Real Estate,,"The Construction Monitor's vision is to compile and database every building permit (valuation over 10k) issued throughout the United States every week. Currently we have reached that goal in the Western United States and Texas. At the start of 2012 we launched a campaign to have the Eastern United States covered by the end of 2014. 

<p>Over the years we have developed a proprietary system to collect database building permits in ""real time"". The data is used by the construction industry for leads to find new work and the financial industry to forecast economic trends. There are many other industries (both public and private) that use building permit data in many different ways.</p>"
Consumer Reports,www.consumerreports.org,1936,"501-1,000",Lifestyle & Consumer,,"Consumer Reports was founded in 1936 when consumers lacked a reliable source of information they could depend on to help them distinguish good products from bad ones. Since then Consumer Reports has filled that vacuum with a broad range of consumer information. Consumer Reports has a wide circulation in print and on its website, ConsumerReports.org, which has the most subscribers of any website of its kind. All of Consumer Reports' work is informed by the more than 1 million readers who respond to our Annual Questionnaire, among the largest and most comprehensive consumer studies in the world. 

<p>In 2008, Consumer Reports also launched several initiatives, including the Consumer Reports Health Ratings Center, which serve to educate and empower consumers to make more informed healthcare decisions and to help change the market.</p>"
CoolClimate,http://coolclimate.berkeley.edu,2007,1-10,Environment & Weather,,"The CoolClimate Network (CCN) is a division of UC Berkeley's Renewable and Appropriate Energy Laboratory (RAEL). CCN carries out research on carbon footprint mitigation, develops carbon management tools for public, business and government users and implements best practice programs grounded in behavior research to engage business and individuals in voluntary carbon reductions. All calculations and data are fully transparent, published on our website and in peer-reviewed research."
Copyright Clearance Center,http://www.copyright.com,1978,201-500,Business & Legal Services,,"Copyright Clearance Center (CCC) is a global rights broker for the world’s most sought-after books, journals, blogs, movies and more. CCC provides smart solutions that simplify the access and licensing of content. These solutions let businesses and academic institutions quickly get permission to share copyright-protected materials, while compensating publishers and creators for the use of their works. CCC provides information solutions to companies of all sizes, as well as academic institutions, law firms, healthcare organizations and government agencies."
CoreLogic,http://www.corelogic.com,2010,"1,001-5,000",Housing/Real Estate,,"CoreLogic is a leading global property information, analytics and data-enabled services provider. The company's combined data from public, contributory and proprietary sources includes over 3.3 billion records spanning more than 40 years, providing detailed coverage of property, mortgages and other encumbrances, consumer credit, tenancy, location, hazard risk and related performance information. The markets CoreLogic serves include real estate and mortgage finance, insurance, capital markets, and the public sector. CoreLogic delivers value to clients through unique data, analytics, workflow technology, advisory and managed services. Clients rely on CoreLogic to help identify and manage growth opportunities, improve performance and mitigate risk. Headquartered in Irvine, CA, CoreLogic operates in North America, Western Europe and Asia Pacific."
CostQuest,http://www.costquest.com,1990,11-50,Business & Legal Services,,"CostQuest Associates' information systems and services deliver comprehensive solutions to complicated business challenges. These solutions reflect the highly specific needs of businesses, including the impact of financial, economic, and regulatory environments. CostQuest has also provided proprietary profitability, cost, telecom engineering, and metrics systems along with demographic data, data analysis, and GIS support to enhance decision-making in some of the world’s leading companies."
Credit Karma,https://www.creditkarma.com,2007,51-200,Finance & Investment,Finance,"Credit Karma helps users manage their debt and finances by finding the best savings options for  credit cards, mortgage, auto loans, and more. Credit Karma enables users to quickly and easily track their credit score, credit attributes, and debt over time, from a single source.

<p>Use our free interactive tools and simulators to help you learn how to anticipate changes in your credit score.  Use our credit report card to compare and learn more about your credit report and how financial institutions view you. Compare your credit report to others and see how the various items on your credit report affect your credit score.</p>"
Credit Sesame,creditsesame.com,2010,11-50,Finance & Investment,,"Credit Sesame was founded on a simple principle: Assets – Liabilities = Wealth, and the recognition that most people overlook a significant contributor to this equation - the mortgages, loans and credit cards we pay each month. We help people manage their credit and loans to building wealth. With our deep expertise in developing bank-level credit and loan analytics, and the belief that transparency and access to financial information are fundamental consumer rights, we established Credit Sesame in 2010."
CrowdANALYTIX,www.crowdanalytix.com,2012,11-50,Data/Technology,,"CrowdANALYTIX is an on-demand, crowd-sourced service providing data science expertise to analytics managers and their teams in enterprises and professional services firms. 

CrowdANALYTIX operates a crowdsourcing platform in which a large and growing community of independent data scientists solve customer problems using data science contests and publicly accessed data. A CrowdANALYTIX solution manager is responsible for managing the partner project with the community to completion.

CrowdANALYTIX is headquartered in the Silicon Valley and has received investments from leading venture capital firms.

For more information, please visit www.crowdanalytix.com/partners 
"
Dabo Health,https://www.dabohealth.com/#/,2011,11-50,Healthcare,,"Dabo Health is an information platform that brings clarity to quality metrics, makes them actionable to hospitals and care providers, and facilitates collaboration for quality improvement.

<p>Our mission is to apply the power of teamwork and data transparency to improve outcomes and meet the needs of patients efficiently. All members of the care team play a critical role in patient outcomes: by providing enterprise awareness around metrics, we break down hierarchies and give care providers an equal voice to create local, regional, and national performance improvement.</p>"
DataLogix,http://www.datalogix.com,2002,201-500,Data/Technology,,"Datalogix provides marketing infrastructure by connecting digital advertising to offline sales. We help brands reach audiences of buyers across display, video, mobile and social. DLX ROI is a proprietary tool that measures the offline sales lift resulting from digital marketing campaigns. The company’s fields of involvement span the major consumer segments, including Retail, CPG, Telecom, Travel, Financial Services and Automotive. Datalogix also offers predictive analytics for Direct Mail, and integrated media solutions via the DLX Net.  

<p>DataLogix is based in Colorado, with offices in New York City, San Francisco, Boston, Chicago, Detroit, and London.</p>"
DataMade,http://datamade.us,2012,1-10,Governance,,"DataMade is a civic technology company. We work on projects that make open data, make open source software, and make people more powerful."
DataMarket,datamarket.com,2008,11-50,Data/Technology,,"DataMarket helps people find and understand data. We bring complex and diverse data together in one place and one format so it can be searched, compared, visualized and shared across teams, organizations or on the web. DataMarket is licensed to enterprises and data publishers as a white-label SaaS solution and includes seamless access to our ever-expanding collection of facts and figures from leading global data providers. Our open data portal, datamarket.com, enables anyone to use our search and visualization technology to explore a vast amount of key public data from around the world, whenever they wish and free of charge."
Datamyne,http://www.datamyne.com,1992,51-200,Data/Technology,Economics,"Datamyne provides a web-enabled suite of analytic tools for searching, saving, and downloading trade data records for their specific business needs.
Our search capabilities include everything from import and export ranking, product type and price, freight origin and destination, specific company trading activities, and more.

<p>Our coverage encompasses key markets in Latin America, Asia, Africa, and the European Union, as well as US maritime commerce as documented in house and master bills of lading. Our integrated suite of online products offers multiple perspectives on international trade, including current rankings of trade flows, details of shipments, and 360-degree profiles of buyers, sellers and service providers.</p>"
DataWeave,www.dataweave.com,2011,1-10,Data/Technology,,"DataWeave is an eCommerce Price Intelligence product that lets eCommerce portals monitor price changes to products across the Web in a easy manner. Managers can monitor changes to prices, stock availability, and daily reports to be abreast with the changes and take decisions accordingly."
Deloitte,http://www.deloitte.com,1845,"10,001+",Research & Consulting,,"Deloitte delivers services in four areas — audit, financial advisory, tax and consulting — and combines the talents of those groups to address clients’ needs."
DemystData,http://demystdata.com,2011,11-50,Finance & Investment,,"DemystData helps leading financial institutions tap into online, social, traditional and internal ""Big Data"" to make better credit decisions. The company’s products enable real-time analysis of both consumer and small business profiles."
Department of Better Technology,dobt.co,2013,1-10,Governance,,"<p>The Department of Better Technology works with government organizations to build and maintain custom applications, or to support open source applications that already exist. Through working closely with organizations like Code for America, we're able to find, integrate, and support web and information technology projects well below standard market prices.</p>

<p>We can also act as technical advisors to your internal projects. We help local governments think through technical projects, provide technology advice on how to craft RFPs, and help get great local or national vendors to bid on them. By using us as an outside strategist, we're able to save you thousands of dollars. We help organizations ask for the right thing, plan small, agile procurements, and get the right people at the table for the job.</p>

<p>We don't just deal with ""citizen experience"" -- we think that employee experience matters too. You and the people you work with should be using software you love using. Software that is not only great to look at, but also gets you home on time. We hand-craft pixel-perfect software for the guts of government.</p>"
Development Seed,developmentseed.org,2004,1-10,Governance,,"Development Seed is a creative strategy and engineering team that helps empower citizens and organizations with tools and data to solve complex issues and make better decisions. We are an integrated team of strategists, designers, and developers that work to solve the challenging development and governance issues with real solutions.

<p>We are a small team that has implemented some of the largest open data projects in international development. We work together with our partners to solve complex communications challenges using data visualizations, interactive web content, and custom applications. Our work runs the spectrum of identifying key problems, strategizing opportunities, building solutions, and designing communications. At our core, we are engineers building incredibly fast and flexible open source tools that provide the foundation for our solutions. This approach allows us to tackle large scale projects in record time, whether that’s taking the World Bank from concept to site launch with data.worldbank.org, helping Internews and NAI expose patterns of violence against journalists on the ground in Afghanistan, or building open.undp.org, the United Nations Development Programme's flagship project portal.</p>"
"Docket Alarm, Inc.",www.docketalarm.com,2012,1-10,Business & Legal Services,"Government Operations, Legal","Docket Alarms performs full text, advanced legal search across millions of documents and dockets in Federal Courts, Bankruptcy Courts, the ITC, and the PTAB.

We support advanced search queries such as stemming, proximity queries, and robust filtering tools."
Dow Jones & Co.,http://www.dowjones.com,1882,"5,001-10,000",Finance & Investment,"Economics, Finance","Dow Jones & Company is a global provider of news and business information, delivering content to consumers and organizations via newspapers, Web sites, apps, video, newsletters, magazines, proprietary databases, conferences, and radio.

<p>Dow Jones' brands include The Wall Street Journal, Barron’s, MarketWatch, Factiva, Dow Jones Risk & Compliance, Dow Jones VentureSource, and DJX. Its information services publish in 13 languages and distribute content in 28 languages, combining technology with news and data to support business decision making.</p>"
Dun & Bradstreet,http://www.dnb.com,1841,"1,001-5,000",Business & Legal Services,,"D&B is a leading source of commercial information and insight on businesses, enabling companies to Decide with Confidence for 172 years. D&B's global commercial database contains more than 225 million business records. The database is enhanced by D&B's proprietary DUNSRight Quality Process, which provides our customers with quality business information to make critical business decisions.

D&B provides solution sets that meet a diverse set of customer needs globally. Customers use D&B Risk Management Solutions to mitigate credit and supplier risk, increase cash flow and drive increased profitability; D&B Sales & Marketing Solutions to increase revenue from new and existing customers; and D&B Internet Solutions to convert prospects into clients faster by enabling business professionals to research companies, executives and industries."
Earth Networks,www.earthnetworks.com,1993,51-200,Environment & Weather,Weather,"For 20 years, Earth Networks has been Taking the Pulse of the Planet by gathering and analyzing atmospheric observations using the world’s largest weather observation and lightning detection networks so our customers can Know Before™. Real-time weather and lightning data – gathered every few seconds from thousands of sensors across the planet – keep consumers, businesses, and governments around the globe informed with neighborhood-level weather intelligence, updated with the most current forecasts, and alerted to approaching severe weather with the fastest alerts. The company’s popular WeatherBug® mobile, desktop and online apps, and website provide local weather, superior forecasts and advanced severe weather alerts to millions of consumers. Earth Networks’ enterprise solutions support utilities, schools, professional sports teams, emergency response crews, government entities and others in safeguarding lives, preparing for weather events, and optimizing business operations."
EarthObserver App,http://www.earth-observer.org/,2011,NA,Geospatial/Mapping,"Geospatial/Mapping, Weather","EarthObserver is a mobile application created at the Lamont-Doherty Earth Observatory of Columbia University in the City of New York specifically for the iPhone®, iPod touch® and iPadTM. 

<p>With EarthObserver we invite you to visit and learn about our planet’s terrestrial landscapes, oceans and seas, frozen ice caps, atmosphere and clouds, geologic terrains, topography, nautical charts, natural hazards, human impacts, and many other earth and environmental science topics as you travel and explore with your finger .</p>"
Earthquake Alert!,https://play.google.com/store/apps/details?id=com.joshclemm.android.quake&hl=en,2013,NA,Geospatial/Mapping,Geospatial/Mapping,"Earthquake Alert! is a website provided by the United States Geological Survey’s (USGS) Earthquake Hazards Program as part of the effort to reduce earthquake hazard in the United States. We are part of the USGS Hazards Mission Area and are the USGS component of the congressionally established, multi-agency National Earthquake Hazards Reduction Program (NEHRP). The USGS participates in the NEHRP with the Federal Emergency Management Agency (FEMA), the National Institute of Standards and Technology (NIST), and the National Science Foundation (NSF). In the 2004 reauthorization of NEHRP by Congress, NIST has been given the lead role to plan and coordinate this national effort to mitigate earthquake losses by developing and applying earth science data and assessments essential for land-use planning, engineering design, and emergency preparedness decisions."
Eat Shop Sleep,https://itunes.apple.com/us/app/eat-shop-sleep/id465262611,2012,NA,Lifestyle & Consumer,,"Eat Sleep Shop is an app that allows you to search for places to eat, shop & sleep and then read customer reviews as well as health, safety and labor highlights as a consumer in the know."
Ecodesk,https://www.ecodesk.com,2010,11-50,Business & Legal Services,Environment,"Ecodesk is a global supply chain sustainability service provider. At its core is an open cloud-based sustainability platform enabling businesses and organisations to hold their key non-financial metrics in a central location and providing the tool set for detailed analytics of the environmental and social impacts of the supply chain. These analytics enable the benchmarking of suppliers both internal and external to the supply chain and which can greatly reduce inherent risk, identify opportunities and drive efficiency changes."
eInstitutional,einstitutional.com,2008,1-10,Finance & Investment,,"eInstitutional generates actionable intelligence from all manner of public financial documents, inclusive of SEC filings, accounting statements, and prospectuses. We apply our proprietary analysis to identify key performance indicators that correlate with companies who outperform in the marketplace, and also flag those entities that appear to exhibit weaker profiles relative to peer group. We routinely scan gigabytes of data where documentation is reviewed on both a stand-alone basis and with cross-reference to thousands of other documents. Financial statements are additionally analyzed within the context of social media and real-time news events."
Embark,http://letsembark.com,2011,1-10,Transportation,Transportation,"Embark, Inc. develops mass transit mobile applications for iPhone and Android users. It serves mass transit riders worldwide. The company was formerly known as Pandav Inc. and changed its name to Embark, Inc. in 2012."
EMC,http://www.emc.com/index.htm,1979,"10,001+",Data/Technology,Public Safety,EMC provides technologies and tools to help businesses design infrastructures to store and protect information so that it can be made accessible and actionable. EMC's promise is to help organizations of all sizes manage more information more effectively.
"Energy Points, Inc.",http://energypoints.com/,2011,11-50,Energy,,"Energy Points provides source energy intelligence software that enables organizations to analyze, manage, and strategically de-risk their energy supply chains. The platform uses geospatial data and sophisticated algorithms to quantify source energy, measuring energy use from its source to the site of consumption, while accounting for resource scarcity and environmental impact. With its source-to-site energy analytics senior management diagnose, flag, and address areas of high risk and spend, making information-driven decisions about their energy sources, including distributed energy alternatives.  Across the globe, Energy Points software is enabling enterprises to maximize their energy productivity and drive long-term business growth."
Energy Solutions Forum,energysolforum.com,2011,1-10,Energy,,"Energy Solutions Forum (ESF) is an energy policy infotech company. Our data product, EnerKnol, provides energy investors for the first time, access to real-time, comprehensive source of U.S. energy policy information from state, federal, and local regulators, thus driving investments forward by solving the problem of inaccessible fragmented data across 80,000+ government offices. ESF's flagship product, ESF Research, conducts macro- and industry-level analyses around the highly fragmented government regulations and policies that impact energy markets. 

ESF is also the founding sponsor of New York Energy Week, a series of ""for the industry, by the industry"" events, launched to foster collaboration and investment in New York's rapidly growing energy economy. ESF founded the initiative based on the company's broader vision to fuel industry investment through cross-sector data products and research designed for all sectors of the diverse, and often fragmented, energy industry."
Enervee Corporation,http://enervee.com,2010,1-10,Energy,,"Enervee is an energy efficiency data and marketing platform, enabling consumers, businesses and governments to purchase the most energy efficient products.

We connect retailers, manufacturers, governments and utilities to provide an integrated product recommendation platform that is distributed via online, in-store, mobile and social channels.

The Enervee Score provides a universal way of comparing a product’s energy efficiency against all models available on the market. It is updated daily and reflects new products as they are introduced.

Through real time analysis of price, energy cost, popularity and market share, our algorithms produce highly targeted recommendations that can be used in email marketing, direct mail advertising and banner ads. The Enervee partner network provides the opportunity to promote energy efficient products directly to millions of customers at the places they already shop.

Enervee provides the following products and services: government market research & compliance, utility rebate & incentive marketing, retail/manufacturer efficiency score cards & digital ads, and corporate procurement & sustainability."
Enigma.io,enigma.io,2011,11-50,Data/Technology,,"Enigma.io is a platform that centralizes, mines and relates big public data about companies, people and locations. Offering one of the largest and broadest repositories of public data on the market, Enigma draws together sources as diverse as SEC filings, government spending contracts, liens, patents, asset ownership, bills of lading, and much more. Enigma's web-based application allows users to connect otherwise disparate and unorganized public data and its full-featured APIs empower developers extend their applications."
Ensco,http://www.enscoplc.com/Home/default.aspx,1987,"5,001-10,000",Energy,,"Ensco plc brings energy to the world as a global provider of offshore drilling services to the petroleum industry. Operating one of the world’s newest ultra-deepwater fleets and one of the largest fleet of premium jackups, we have a major presence in the most strategic offshore basins.

<p>Operating across six continents, our high-quality fleet (existing and under construction) includes 10 drillships, 13 dynamically-positioned semisubmersibles, 6 moored semisubmersibles and 45 premium jackups. In addition, we provide drilling management for two customer-owned deepwater rigs. Our rigs have drilled some of the most complex wells in virtually every major offshore basin around the globe.</p>

<p>Our customers are multinational integrated energy companies, national oil companies and independent operators. With safety and operational excellence as our highest priorities, our skilled employees consistently exceed customer expectations, using our proven Safe Systems of Work. </p>"
Environmental Data Resources,http://www.edrnet.com,1990,51-200,Environment & Weather,Environment,"Environmental Data Resources (EDR) provides information on businesses, properties and buildings to professionals in the financial, environmental, real estate, corporate, government, and legal sectors, and to other information companies. The company created and maintains the National Environmental Data Information System, or NEDIS, its proprietary aggregate database of environmental records and historical land use information culled from public records and private sources. Over 20 years in the making and updated continually, NEDIS contains 1,400 databases, some of which are proprietary, and more than 3.1 billion records."
Epsilon,http://www.epsilon.com,1969,"5,001-10,000",Data/Technology,,"Epsilon delivers direct-to-customer connections that drive business performance. Epsilon’s integrated solutions leverage the power of rich transactional and demographic marketing data, strategic insights, analytics, creative and robust digital and database marketing technologies to connect brands with consumers both online and offline, increasing engagement to generate measurable marketing outcomes."
Equal Pay for Women,http://resources.alljobopenings.com/equality,2012,NA,Business & Legal Services,,"The Demand Equal Pay for Women app makes it easy for everyone to see how the pay gap impacts nearly every woman in every industry. The app allows users to compare what they're making with the national averages at the industry and occupation level, so users know how hard they need to push during salary negotiations."
Equifax,http://www.equifax.com/home/en_us,1899,"5,001-10,000",Finance & Investment,Economics,"Equifax can help you better understand your customers and prospects so you can grow your business intelligently across the customer lifecycle. With our suite of business data, predictive analytics, innovative solutions and industry expertise, you can improve the performance of your marketing and risk management programs to expand your market reach and efficiently grow and protect your revenues."
Equilar,http://www.equilar.com/,2000,51-200,Data/Technology,,"Equilar is an independent provider of high-quality executive data, tools, and analysis. We help leaders and companies improve by providing information and tools that strengthen corporate governance, enable broader and deeper board searches and build bridges between people at the top. "
Ernst & Young LLP,http://www.ey.com,1998,"10,001+",Finance & Investment,,"Ernst & Young provides audit, tax, business risk, technology and security risk services, and human capital services worldwide."
eScholar LLC.,http://www.escholar.com,1997,51-200,Education,,"eScholar’s mission is to enable the education community, including students, to use data to empower individuals to succeed in life. eScholar leverages secure and comprehensive data to help all student attain a personalized education."
Esri,esri.com,1969,"1,001-5,000",Geospatial/Mapping,,"Esri inspires and enables people to positively impact the future through a deeper, geographic understanding of the changing world around them. At Esri, we believe that geography is at the heart of a more resilient and sustainable future. Governments, industry leaders, academics, and nongovernmental organizations (NGOs) trust us to connect them with the analytic knowledge they need to make these critical decisions that shape the planet."
Estately,http://www.estately.com/,2007,1-10,Housing/Real Estate,,"We are a real estate brokerage in 30+ states, publishing residential houses for sale on the internet for consumers."
Everyday Health,http://www.everydayhealth.com,2002,"501-1,000",Lifestyle & Consumer,Agriculture & Food,Everyday Health is a provider of digital health and wellness solutions. Everyday Health combines digital content from leading health brands with data and analytics technology to provide a personalized content experience to our users.
Evidera,http://www.evidera.com,2013,201-500,Healthcare,Health/Healthcare,"Evidera provides health economics, outcomes research, market access, data analytics and epidemiology research and consulting services. We partner with life sciences organizations worldwide to optimize the market access and commercial success of their products."
Experian,http://www.experian.com,1980,"10,001+",Finance & Investment,Demographics & Social,"Experian provides information, analytical tools and marketing services to organizations and consumers to help manage the risk and reward of commercial and financial decisions."
"Expert Health Data Programming, Inc.",http://www.ehdp.com/,1997,1-10,Healthcare,,"EHDP provides Vitalnet for analyzing large complex health data sets, including BRFSS, birth, cancer, hospital discharge, mortality, pregnancy, and others. Vitalnet is a totally customized data warehouse software, guaranteed to work correctly with no risk of project failure. Vitalnet runs on the desktop, or over the internet in a browser.

<br><br>A Vitalnet license includes programming, customization, user guides, train-the-trainer, problem resolution, and other support services needed to ensure project success. Flat-rate licensing simplifies purchasing and ensures no cost over-runs.

<br><br>Vitalnet seeks to improve public health by making better use of government open health data. Vitalnet uses government open data inside the software. Also, the software is used to analyze government open data.

<br><br>Vitalnet fulfills the role of many different kinds of software to benefit your organization, including: community assessment, data access, data analysis, data dissemination, data linkage, data mining, data query, data warehouse, decision support, educational, ICD database, and virtual data center."
Exversion,https://exversion.com,2013,1-10,Data/Technology,,"Exversion aims to improve accessibility and usability of all data. We believe that the future is in comparatively small, well assembled, thoroughly documented data sets. Exversion allows you to search 140,000+ datasets, consume through one API or upload your own data, and collaborate, publish, share or version-control with  your community."
Ez-XBRL,ez-xbrl.com,2009,51-200,Finance & Investment,,"Ez-XBRL Solutions, Inc. is a global provider of products and services for Financial Analytics and Financial Regulatory Compliance. Our analytics product - Contexxia - provides a unique way to combine and analyze unstructured and structured data to deliver a unique solution. Contexxia enables users to analyze and research SEC filings and other public disclosures by highlighting changes to text, events and financial data between two periods. A brief overview of features is available at http://youtu.be/AnmsI5LM9bY. Our team comprises of experts with significant knowledge and experience in a diverse set of domains and technologies, including financial services, XBRL, XML databases, Natural Language Processing and Semantic Analytics. Ez-XBRL is a member of XBRL US and is playing a key role in the development of XBRL standards and global adoption. The company is headquartered in the USA and has operations in the UK and India."
Factset,http://www.factset.com,1978,"5,001-10,000",Finance & Investment,"Economics, Finance","FactSet Research Systems provides multinational financial data and analytic software to financial institutions. FactSet consolidates tools to monitor global markets, public and private companies, and equity and fixed income portfolios in a single interface."
Factual,http://www.factual.com,2007,51-200,Data/Technology,,"Factual is a data company that helps developers, publishers, and advertisers build more relevant and personalized mobile experiences using the context of location."
Farmers,http://www.farmers.com,1928,"10,001+",Insurance,Environment,"Farmers Insurance Group of Companies is a U.S. insurer group of automobiles, homes and small businesses that also provides a wide range of other insurance and financial services products. Farmers Insurance serves more than 10 million households with more than 20 million individual policies across all 50 states."
FarmLogs,farmlogs.com,2011,11-50,Food & Agriculture,,"<p>FarmLogs' mission is to invent the future of farming. At FarmLogs we believe farming can leverage web and mobile software to improve efficiency and increase profits. We believe in putting the grower first.</p>

<p>Our technology makes farming more efficient and more profitable as demand for food production continues to grow. The hard working people behind growing crops often get overlooked, but ultimately it is the farmer who is at the core of agriculture. By serving the farmer, we are serving the industry that we and our families come from and rely on.</p>"
Fastcase,fastcase.com,1999,51-200,Business & Legal Services,,"Fastcase's mission is to democratize the law and make legal research smarter. Fastcase has created new ways to access the law, with smarter legal research tools and free apps for iOS and Android devices. Fastcase also maintains the Public Library of Law, a free law library for non-lawyers.

<p>Fastcase partners with 24 state bar associations to provide free legal research for their members, and today serve more than 600,000 subscribers.</p>"
Fidelity Investments,https://www.fidelity.com,1946,"10,001+",Finance & Investment,,"Fidelity Investments is a provider of investment products and services. We are a financial services company that offers a range of product solutions for individual investors, employers, institutions and intermediaries."
FindTheBest.com,http://www.findthebest.com,2010,51-200,Lifestyle & Consumer,,"FindTheBest is a research engine focused on collecting, structuring, and connecting the world’s data — 60+ billion pieces of information to date — to lead people to the best conclusions. FindTheBest’s desktop site, mobile site and embeddable widgets let people thoroughly research all of their options in almost every topic, on one intuitive interface."
First Fuel Software,http://firstfuel.com,2009,51-200,Energy,"Geospatial/Mapping, Weather","FirstFuel Software is a commercial energy analytics company that helps utilities and government agencies deliver scalable energy efficiency across their commercial building portfolios. The company’s Remote Building Analytics platform uses advanced meter data analytics to identify, enable, and track energy efficiency savings behind the meter in commercial buildings - without onsite visits or device installations. "
"FirstPoint, Inc.",https://www.firstpointresources.com/,1941,51-200,Business & Legal Services,,"FirstPoint, Inc. is a national provider of information and operation services, offering Equifax credit solutions, revenue cycle management, decision data and organizational management."
Fitch,https://www.fitchratings.com/web/en/dynamic/fitch-home.jsp,1913,"1,001-5,000",Finance & Investment,,"Fitch is a global provider of financial information services. Fitch Group is comprised of: Fitch Ratings, a provider of credit ratings and research; Fitch Solutions, a provider of credit market data, analytical tools and risk services; Fitch Learning, a provider of learning and development solutions for the global financial services industry; and Business Monitor International, a provider of country risk and industry analysis specializing in emerging and frontier markets."
FlightAware,http://www.flightaware.com/,2005,51-200,Transportation,Transportation,"FlightAware provides private aviation flight tracking in over 45 countries across North America, Europe, and Oceania, as well as global solutions for aircraft with datalink (satellite/VHF) via every major provider, including ARINC, Honeywell GDC, Satcom Direct, and UVdatalink. 

<p>FlightAware provides live flight data, airport delays, fuel prices, FBO reservations, weather maps, flight planning, flight routes, oceanic tracks, and navigation charts, as well as aviation news and photos to over three million users a month via the FlightAware.com web site as well as apps for iPhone/iPad, Android, BlackBerry, PlayBook, Symbian, Windows Phone, and Windows 8.</p>

<p>FlightAware also powers operational management and dispatch software, airport flight information displays (FIDS), airport operational tools, third party mobile apps, and provides reporting data to aircraft and airport operators. </p>"
FlightStats,http://www.flightstats.com/,2005,51-200,Transportation,,"FlightStats is a leading global provider of data services and applications to the travel industry and traveling public. The company delivers real-time global flight status information, messaging and alerting, and complementary services that power many of the worlds most popular travel applications and support the operations of airlines, agencies and airports. Our historical archive of flight data is proving quite valuable in projects aimed at measuring and improving airline and airport operational efficiencies and in predictive analytics applications such as passenger flow modeling.

<p>
FlightStats’ data reaches nearly 40% of global air travelers each day via our customers’ search engines, mobile applications, websites, FIDS boards, flight alerts and our own consumer properties. We’ve made a significant investment and notable progress in expanding our data coverage in key functional and geographic areas and shown continuous improvement in accuracy, reliability, and timeliness. FlightStats aims to be the most trusted and reliable source of global flight and airport data.</p>"
FlightView,http://www.flightview.com/,1981,11-50,Transportation,"Transportation, Weather","FlightView aggregates and delivers accurate and timely day of travel information and content to travelers, airlines, airports and travel companies to improve customer satisfaction, operational efficiency and brand loyalty. 

FlightView builds, maintains, continually updates and publishes the world’s largest and most comprehensive flight database, enabling real-time and historical views of commercial and general aviation activity around the world. FlightView leverages its global flight information and travel technology experience to create mobile websites and applications, in-airport displays, web content, tracking maps, alerts and other applications for its customers. 
"
Food+Tech Connect,http://www.foodtechconnect.com,2010,1-10,Food & Agriculture,Agriculture & Food,"Food+Tech Connect is a media and research company building a network for innovators transforming the business of food. Through news, analysis and research, we help people identify and understand market needs, emerging technologies and successful business models. Through events, we connect the leading thinkers and doers from the worlds of food, agriculture, health and technology. Our goal is to accelerate innovation and feed the growing hunger to hack a healthier, more equitable and more profitable future for food."
Forrester Research,http://www.forrester.com,1983,"1,001-5,000",Research & Consulting,,"Forrester Research is an independent global technology and market research company providing proprietary research, consumer and business data, custom consulting, events, and peer-to-peer executive programs."
Foursquare,https://foursquare.com,2009,51-200,Lifestyle & Consumer,Geospatial/Mapping,"Foursquare makes apps that help people keep up and meet up with friends, and discover great places. Swarm is for people who want the fastest and easiest way to connect with their friends. The Foursquare app is for explorers who want to know about the best spots, and to share what they’ve found with others. "
Fujitsu,http://www.fujitsu.com/us/,1935,"10,001+",Data/Technology,,"Fujitsu is a leading Japanese information and communication technology (ICT) company offering a full range of technology products, solutions and services.  We use our experience and the power of ICT to shape the future of society with our customers."
Funding Circle,https://www.fundingcircle.com,2010,51-200,Finance & Investment,Legal,"Funding Circle USA is an online loan marketplace that connects small businesses looking for up to $500K with investors. Funding Circle was founded with the mission of addressing  by connecting investors with small businesses to the benefit of both.

<p>People lend small amounts to multiple creditworthy businesses to spread their risk. In turn, those businesses borrow from a multitude of people through an auction mechanism to get a lower interest rate. Lenders are able to loan specifically to businesses in their community or businesses that meet certain criteria, such as being environmentally friendly.</p>"
